Date,Year,Start of Year,End of Year,Month,Start of Month,End of Month,Days in Month,Day,Day Name,Day of Week,Day of Year,Month Name,Quarter
1-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,1,Tuesday,1,1,January,1
2-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,2,Wednesday,2,2,January,1
3-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,3,Thursday,3,3,January,1
4-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,4,Friday,4,4,January,1
5-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,5,Saturday,5,5,January,1
6-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,6,Sunday,6,6,January,1
7-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,7,Monday,0,7,January,1
8-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,8,Tuesday,1,8,January,1
9-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,9,Wednesday,2,9,January,1
10-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,10,Thursday,3,10,January,1
11-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,11,Friday,4,11,January,1
12-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,12,Saturday,5,12,January,1
13-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,13,Sunday,6,13,January,1
14-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,14,Monday,0,14,January,1
15-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,15,Tuesday,1,15,January,1
16-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,16,Wednesday,2,16,January,1
17-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,17,Thursday,3,17,January,1
18-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,18,Friday,4,18,January,1
19-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,19,Saturday,5,19,January,1
20-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,20,Sunday,6,20,January,1
21-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,21,Monday,0,21,January,1
22-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,22,Tuesday,1,22,January,1
23-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,23,Wednesday,2,23,January,1
24-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,24,Thursday,3,24,January,1
25-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,25,Friday,4,25,January,1
26-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,26,Saturday,5,26,January,1
27-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,27,Sunday,6,27,January,1
28-Jan-19,2019,1-Jan-19,31-Dec-19,1,1-Jan-19,31-Jan-19,31,28,Monday,0,28,January,1
