Return Year,Price Return,Dividend Return,Total Return
2022,-20.58,0.62,-19.96
2021,26.89,1.82,28.71
2020,16.26,2.14,18.4
2019,28.88,2.61,31.49
2018,-6.24,1.86,-4.38
2017,19.42,2.41,21.83
2016,9.54,2.42,11.96
2015,-0.73,2.11,1.38
2014,11.39,2.3,13.69
2013,29.6,2.79,32.39
2012,13.41,2.59,16
2011,0,2.11,2.11
2010,12.78,2.28,15.06
2009,23.45,3.01,26.46
2008,-38.49,1.49,-37
2007,3.53,1.96,5.49
2006,13.62,2.17,15.79
2005,3,1.91,4.91
2004,8.99,1.89,10.88
2003,26.38,2.3,28.68
2002,-23.37,1.27,-22.1
2001,-13.04,1.15,-11.89
2000,-10.14,1.04,-9.1
1999,19.53,1.51,21.04
1998,26.67,1.91,28.58
1997,31.01,2.35,33.36
1996,20.26,2.7,22.96
1995,34.11,3.47,37.58
1994,-1.54,2.86,1.32
1993,7.06,3.02,10.08
1992,4.46,3.16,7.62
1991,26.31,4.16,30.47
1990,-6.56,3.46,-3.1
1989,27.25,4.44,31.69
1988,12.4,4.21,16.61
1987,2.03,3.22,5.25
1986,14.62,4.05,18.67
1985,26.33,5.4,31.73
1984,1.4,4.87,6.27
1983,17.27,5.29,22.56
1982,14.76,6.79,21.55
1981,-9.73,4.82,-4.91
1980,25.77,6.65,32.42
1979,12.31,6.13,18.44
1978,1.06,5.5,6.56
1977,-11.5,4.32,-7.18
1976,19.15,4.69,23.84
1975,31.55,5.65,37.2
1974,-29.72,3.25,-26.47
1973,-17.37,2.71,-14.66
1972,15.63,3.35,18.98
1971,10.79,3.52,14.31
1970,0.1,3.91,4.01
1969,-11.36,2.86,-8.5
1968,7.66,3.4,11.06
1967,20.09,3.89,23.98
1966,-13.09,3.03,-10.06
1965,9.06,3.39,12.45
1964,12.97,3.51,16.48
1963,18.89,3.91,22.8
1962,-11.81,3.08,-8.73
1961,23.13,3.76,26.89
1960,-2.97,3.44,0.47
1959,8.48,3.48,11.96
1958,38.06,5.3,43.36
1957,-14.31,3.53,-10.78
1956,2.62,3.94,6.56
1955,26.4,5.16,31.56
1954,45.02,7.6,52.62
1953,-6.62,5.63,-0.99
1952,11.78,6.59,18.37
1951,16.35,7.67,24.02
1950,21.68,10.03,31.71
1949,10.46,8.33,18.79
1948,-0.65,6.15,5.5
1947,0,5.71,5.71
1946,-11.87,3.8,-8.07
1945,30.72,5.72,36.44
1944,13.8,5.95,19.75
1943,19.45,6.45,25.9
1942,12.43,7.91,20.34
1941,-17.86,6.27,-11.59
1940,-15.09,5.31,-9.78
1939,-5.18,4.77,-0.41
1938,24.55,6.57,31.12
1937,-38.59,3.56,-35.03
1936,27.92,6,33.92
1935,41.37,6.3,47.67
1934,-4.71,3.27,-1.44
1933,44.08,9.91,53.99
1932,-14.78,6.59,-8.19
1931,-47.07,3.73,-43.34
1930,-28.48,3.58,-24.9
1929,-11.91,3.49,-8.42
1928,37.88,5.73,43.61
